"","Sector","Div","PE","PS","PB","diff","P"
"CINF","Financials",2.56,18.07,2.36,1.83,34.4121532364597,0.435929986789961
"CTAS","Industrials",1.06,16.87,2.21,5.42,21.8608852755194,17.3240981632039
"CSCO","Information Technology",3.62,14.49,2.92,2.32,24.025974025974,2.87081339712919
"C","Financials",0.46,8.39,1.81,0.58,62.9585516912816,45.2358289661744
"CFG","Financials",2.53,12.56,2.27,0.52,51.0831234256927,81.4609571788413
"CME","Financials",2.45,26.03,9.72,1.59,19.211324570273,16.7846309403438
"CMS","Utilities",2.69,25.98,2.06,3.08,31.6194243023511,-8.28388925510877
"COH","Consumer Discretionary",3.38,29.64,2.6,4.29,35.8758421559192,-15.7603512993263
"CMCSA","Consumer Discretionary",1.77,20.34,2.13,3.06,25.5997615854567,3.6954194605871
"CMA","Financials",2.21,16.89,2.85,0.93,48.8674698795181,68.3614530120482
"ED","Utilities",3.29,20.93,1.94,1.78,27.1211744214979,-8.50957825329683
"GLW","Industrials",2.81,52.8,2.47,1.41,28.1205164992826,16.5471114299378
"COST","Consumer Staples",1.15,31.27,0.61,6.24,31.8544487427466,-2.71397666827853
"CCI","Financials",3.92,24.41,9.17,4.74,26.5264187866928,-14.6379667318982
"CSRA","Information Technology",1.69,45.3,0.91,60.03,51.8950437317784,34.1107913369429
"CSX","Industrials",2.77,13.8,2.17,2.13,44.3648699585375,37.2408594044478
"CMI","Industrials",3.53,15.16,1.01,2.73,44.8125544899738,21.3251996512642
"CVS","Consumer Staples",1.77,21.03,0.64,2.87,33.3677899524499,-17.4591709737441
"DHI","Consumer Discretionary",1.09,15.53,1.08,1.95,32.5251330573625,-16.9426374926079
"DHR","Industrials",0.79,16.02,2.61,2.27,31.4741528567895,-1.94162626762305
"DRI","Consumer Discretionary",3.6,21.4,1.13,4.02,35.8213767531839,17.620504594551
"DE","Industrials",2.87,16.25,0.9,3.48,33.8396937137211,30.4680733605039
"DLPH","Consumer Discretionary",1.9,11.03,1.11,7.57,51.349267540478,7.84888511950657
"DAL","Industrials",1.52,6.26,0.69,2.5,53.973775755954,34.8943002408349
"XRAY","Health Care",0.5,30.82,5.25,1.75,25.7927117841931,-6.92538255245307
"DO","Energy",0,49,1.49,0.79,51.1836734693877,-23.8367346938776
"DLR","Financials",3.14,101.23,8.53,5.14,47.6687227866473,-7.2115375544267
"DFS","Financials",2.12,10.58,3.03,2.05,30.956711531466,34.2124427064387
"DG","Consumer Discretionary",1.07,22.76,1.28,4.94,37.0335029686175,-20.5788761662426
"D","Utilities",3.61,24.66,4.26,3.59,18.4550454022253,-3.06944494180841
"DOV","Industrials",2.44,14.58,1.55,2.88,30.4947398350867,8.75746374751208
"DOW","Materials",3.82,9.43,1.15,2.51,44.5141700404858,17.5910931174089
"DPS","Consumer Staples",2.19,23.55,2.85,8.62,27.1800679501699,-6.30083187480696
"DTE","Utilities",2.97,25.45,1.78,1.98,26.1145854347388,-0.524507766794436
"DD","Materials",2.45,26.53,2.19,5.33,44.9207096875491,15.9836756162663
"DUK","Utilities",3.87,22.46,2.6,1.47,25.3575165678409,-9.42913382164865
"EMN","Materials",2.75,11.04,1.05,2.36,35.5516637478109,12.7699897840047
"ETN","Industrials",3.84,15.02,1.35,1.77,32.9780361757106,9.91601744186045
"ECL","Materials",1.19,35.89,2.58,5.24,20.0167785234899,-0.654364093959728
"EIX","Utilities",2.49,25.94,2.19,2.19,28.1949597032109,-7.2790034540105
"EMR","Industrials",3.63,18.3,1.61,4.38,29.1354790419162,5.76347305389223
"EFX","Financials",1.01,36.02,5.66,6.24,31.5562613430127,-9.60375
"EQIX","Information Technology",1.81,298.66,9.08,5.51,35.9173192964437,-5.96739221979715
"EQR","Financials",2.91,6.05,9.39,2.3,29.063829787234,-9.26240992907801
"ESS","Financials",2.8,61.49,11.97,2.44,23.1098430813124,-0.71326978774911
"EL","Consumer Staples",1.31,29.99,3.03,8.87,25.5993979142028,-15.9337684119987
"ES","Utilities",3,21.82,2.51,1.8,25.68406916233,-6.84908175256002
"EXC","Utilities",3.56,18.72,1.17,1.28,32.0963721960676,-1.68928274716145
"EXPE","Consumer Discretionary",0.89,25.47,2.23,3.48,47.6194827743763,3.93858905236223
"EXPD","Industrials",1.62,20.95,1.41,5.03,22.8165064102564,6.16987179487179
"EXR","Financials",3.39,52.62,13.54,5.37,27.5710455764075,-17.6085769436997
"XOM","Energy",3.23,30.13,1.75,2.24,29.8695745135771,-3.58135343168698
"FAST","Industrials",2.68,25.45,3.31,7.09,34.3577271722308,5.99159628565112
"FRT","Financials",2.26,48.47,15.54,6.39,26.1545795840534,-14.730948096061
"FDX","Industrials",0.75,24,0.81,2.86,34.1121495327103,20.7975976187428
"FIS","Information Technology",1.39,39.54,3.38,2.59,27.7127449690912,2.91990003945811
"FITB","Financials",3.07,8.65,2.12,0.87,46.8985507246377,58.1449333333333
"FE","Utilities",4.08,22.34,1.03,1.2,21.2382009994447,-14.1032731815658
"FLIR","Industrials",1.53,22.8,2.72,2.59,28.2075471698113,15.2515786163522
"FLS","Industrials",1.69,21.8,1.3,3.38,40.7075780738152,7.84014195239135
"FLR","Industrials",1.68,19.98,0.39,2.26,31.4330036843126,4.47935039751794
"FMC","Materials",1.47,10.65,1.75,3.06,40.2538726333907,24.8924246987952
"FL","Consumer Discretionary",1.99,14.62,1,2.81,45.897927190385,25.0653248562968
"F","Consumer Discretionary",4.71,6.06,0.33,1.71,41.2528647822765,0.916730328495042
"FBHS","Industrials",1.09,29.47,1.9,4.16,31.8053479488457,-9.54991031390134
"BEN","Financials",2.21,12.31,2.63,1.62,56.1506768687463,20.6592113007652
"GPS","Consumer Discretionary",4.22,11.38,0.55,3.41,93.3920704845815,1.189422907489
"GRMN","Consumer Discretionary",4.79,17.33,2.82,2.34,36.4076550611021,14.8720313580816
"GD","Industrials",2.17,15.2,1.36,4.04,22.8858200455581,25.1281314066059
"GE","Industrials",2.89,43.63,2.49,3.21,40.0621118012422,-1.95652173913044
"GGP","Financials",2.53,31.97,10.29,3.31,21.8205293737895,-17.6888315041963
"GIS","Consumer Staples",2.67,26.16,2.6,8.72,35.1228263869721,-14.4355506486337
"GM","Consumer Discretionary",5.29,4.47,0.29,1.05,41.3351314902225,24.7808428860418
"GPC","Consumer Discretionary",2.79,22.66,1.01,4.77,27.1696675240545,-8.18329332190149
"GILD","Health Care",2.2,7.39,3.47,8.6,49.0467937608319,-11.2189532062392
"GPN","Information Technology",0.06,32.14,3.25,11.05,38.3872722327985,-1.04705330432418
"GS","Financials",1.77,17.01,2.18,0.85,50.8112780954914,61.4044427450459
"GT","Consumer Discretionary",1,27.1,0.42,1.66,41.4248021108179,19.9396909159442
"GWW","Industrials",2.16,20.09,1.38,6.1,27.4005293530611,2.46452640256866
"HBI","Consumer Discretionary",1.72,22.94,1.68,10.11,43.4716406547393,-14.5793642938713
"HOG","Consumer Discretionary",2.93,13.08,1.44,4.63,49.8871331828443,21.6909480812641
"HAR","Consumer Discretionary",1.99,14.76,0.75,2.04,73.5728813559322,50.2372922033898
"HRS","Information Technology",2.43,95.46,1.45,3.04,23.3729216152019,22.4584334916865
"HIG","Financials",1.97,11.9,0.93,0.93,33.0656264341441,11.037170720514
"HAS","Consumer Discretionary",2.45,22.67,2.27,6.46,33.2310234919136,-4.79282021012867
"HP","Energy",4.74,71.07,3.28,1.47,43.9127163280662,18.7509465763732
"HPE","Information Technology",1.19,15.59,0.59,1.01,43.2247899159664,23.1617699579832
"HD","Consumer Discretionary",2.1,23.6,1.81,25.78,33.9809438737532,0.476400178651181
"HON","Industrials",2.05,19.29,2.28,4.86,26.9185459441266,-1.94379081117469
"HRL","Consumer Staples",1.58,25.25,2.1,4.48,47.2002185195302,-2.10325047801146
"HST","Financials",4.88,19.72,2.25,1.74,55.0715990453461,15.1551252983293
"HUM","Health Care",0.64,22.05,0.45,2.3,23.5535883654758,25.4821353145748
"HBAN","Financials",3.26,10.63,2.33,1.07,46.6743119266055,54.1284403669725
"ITW","Industrials",2.08,20.79,2.85,7.29,28.3776301218162,13.4643752307124
"IR","Industrials",1.98,22.87,1.25,2.87,33.7693945847277,15.606936416185
"INTC","Information Technology",3.13,14.52,2.79,2.56,31.5294117647059,7.20588529411765
"ICE","Financials",1.34,21.99,8.02,2.01,20.1136673284285,-77.8037292226245
"IBM","Information Technology",3.67,11.71,1.81,9.82,36.8250679787647,9.57529457464715
"IP","Materials",4.19,18.64,0.78,4.07,39.7426900584795,26.0818760233918
"IPG","Consumer Discretionary",2.52,21.48,1.22,4.83,28.0657395701644,-2.275596291614
"IFF","Materials",1.76,25.61,3.35,6.24,26.2950667798966,-9.71975449702771
"INTU","Information Technology",1.16,30.17,6.31,23.47,31.5206096293731,-0.60616643574645
"IVZ","Financials",4.45,12.55,2.11,1.33,64.2216152945767,23.1369449863441
"IRM","Industrials",5.1,58.01,2.77,16.76,42.5846925972396,-15.3826825595985
"JBHT","Industrials",1.08,22.59,1.48,7.22,30.4117647058824,14.6117623529412
"JNJ","Health Care",2.61,22.39,4.8,4.64,33.7321937321937,-5.57590557590557
"JCI","Consumer Discretionary",2.72,63.81,0.76,2.78,36.610401459854,-3.1478125
"JPM","Financials",2.85,10.48,2.52,0.99,33.2201196830018,40.4010965550703
"JNPR","Information Technology",1.82,13.79,1.72,1.83,49.4704324801412,27.4492453662842
"KSU","Industrials",1.51,20.12,3.98,2.41,43.2815964523281,-9.95565299334812
"K","Consumer Staples",2.42,52.67,2.15,14.18,23.8020329138432,-11.616649322362
"KEY","Financials",2.52,11.01,2.28,0.86,50.3155996393147,66.456257889991
"KMB","Consumer Staples",2.69,45.44,2.63,442.97,26.3533392174169,-15.2324213003825
"KIM","Financials",3.27,19.7,11.08,2.52,30.849714648066,-18.4844673430564
"KMI","Energy",2.9,713.08,2.93,1.17,147.680690399137,17.5296709816613
"KLAC","Information Technology",2.88,20.21,3.99,23.6,40.9762711864407,6.79322305084746
"KSS","Consumer Discretionary",5.23,13.27,0.37,1.34,79.0531941969967,32.0437795876813
"KHC","Consumer Staples",2.56,168.26,4.84,1.87,32.0979410127991,-3.28324763494713
"KR","Consumer Staples",1.29,17.72,0.32,5.48,40.7554146856841,-12.4669862651875
"LH","Health Care",0,23.47,1.5,2.61,27.9674796747967,-4.16112490761273
"LRCX","Information Technology",1.46,18.89,2.25,2.3,30.619698397738,26.6729465127239
"LEG","Industrials",2.66,21.56,1.77,6.37,29.5790889871228,-4.5550643859312
"LEN","Consumer Discretionary",0.34,13.12,1.02,1.7,38.4458909682669,-10.9438588283157
"LLY","Health Care",2.55,36.71,4.17,5.6,31.345719307055,-5.9377353753452
"LNC","Financials",2.67,9.28,0.67,0.61,74.8971193415638,73.3796399176955
"LLTC","Information Technology",2.77,23.42,7.72,6.56,24.2654829845699,31.4943965335024
"LMT","Industrials",2.64,22.28,1.59,23.94,27.9436284239778,0.980545851528377
"L","Financials",0.62,57.03,1.04,0.76,18.1706718979892,14.6640461010299
"LOW","Consumer Discretionary",1.74,27.42,1.19,9.98,24.0466358999271,-13.2377920816128
"LYB","Materials",4.56,8.04,1.02,5.03,42.207453739901,15.1941647120146
"MTB","Financials",2.45,16,3.88,1.2,29.2565119889598,35.639119372089
"MAC","Financials",3.59,15.5,10.17,2.75,17.9677677448851,-19.4879391930506
"M","Consumer Discretionary",4.49,11.23,0.39,2.5,127.09545983702,-8.11990686845169
"MPC","Energy",3.51,9.97,0.31,1.46,85.5494505494506,41.4835164835165
"MMC","Financials",2.04,22.39,2.68,5.21,26.6190263510496,1.65252195920798
"MLM","Materials",0.82,39.79,3.68,3.15,45.7142857142857,14.9720355871886
"MA","Information Technology",0.87,26.68,9.76,17.66,30.6571815718157,20.8785038392051
"MAT","Consumer Discretionary",4.7,31.52,1.95,4.45,46.934396076027,-10.9135530349479
"MKC","Consumer Staples",1.62,31.72,3.08,7.64,30.0673148840688,-12.8272270007479
"MCD","Consumer Discretionary",2.94,23.31,4.19,27.48,36.6499052015498,-1.62394196686176
"MCK","Health Care",0.58,19.87,0.23,4.82,45.9411795217594,-23.6111810778567
"MDT","Health Care",1.97,35.63,4.23,2.35,37.3698506111363,-19.1036634223631
"MRK","Health Care",3.13,36.39,4.13,3.72,24.229149115417,1.46588205560236
"MET","Financials",4.18,8.41,0.61,0.55,59.0051020408163,38.596943877551
"MCHP","Information Technology",2.85,34.81,4.98,4.78,29.6896086369771,22.4985560053981
"MU","Information Technology",0,36.26,0.99,1.04,89.2234548335975,77.4960380348653
"MSFT","Information Technology",2.75,40.32,4.65,5.41,32.7533460803059,18.9101319311664
"TAP","Consumer Staples",1.64,44.61,6.08,2.17,39.2355694227769,-3.00311719968799
"MDLZ","Consumer Staples",1.51,9.93,2.47,2.53,27.5488069414317,-2.88503253796095
"MON","Materials",2.15,45.19,3.31,8.62,32.1776392676276,2.94117354888974
"MS","Financials",2.34,11.62,1.5,0.73,75.3886992794843,65.0739438756162
"MYL","Health Care",0,28.5,2.28,2.09,77.1441400987876,-12.5505141445891
"NDAQ","Financials",1.97,20.35,3.1,1.87,29.8421372191864,2.44383424408015
"NAVI","Financials",5.27,5.24,1.75,1.05,81.1662726556344,32.3876989755713
"NTAP","Information Technology",3.17,31.87,1.21,2.33,57.6609616951915,45.3137734311328
"NWL","Consumer Discretionary",1.58,39.21,2.16,7.27,36.1031518624642,-5.3417928776095
"NEM","Materials",0.24,242,2.79,1.91,63.3689839572192,-13.4662177929023
"NEE","Utilities",2.86,21.74,3.44,2.58,29.4312322019549,-7.81189948433772
"NLSN","Industrials",2.37,32.1,3.04,4.18,23.2646113107623,-19.6519765462455
"NKE","Consumer Discretionary",1.15,26.26,2.91,7.67,36.9181946403385,-6.69958039492242
"NI","Utilities",2.72,42.28,1.98,2.16,41.7145044010716,-14.1982395713739
"JWN","Consumer Discretionary",3.86,14.48,0.47,7.76,112.152777777778,11.9047594246032
"NSC","Industrials",2.74,16.02,2.4,2.03,39.6204582272622,27.4936357324693
"NTRS","Financials",2.27,15.89,3.02,1.72,38.5402138540214,40.0588826902216
"NOC","Industrials",1.62,20.15,1.69,7.09,32.0358607018966,5.96477316754516
"NUE","Materials",2.94,47.49,1.04,2.21,36.5106222974243,14.9088155668359
"NVDA","Information Technology",0.97,43.39,5.06,6.22,62.9301868239921,105.565386430678
"OMC","Consumer Discretionary",2.37,18.53,1.29,8.24,26.2632338787295,2.74302454282964
"OKE","Energy",5.24,37.38,1.28,34.42,63.2179054054054,24.2398648648649
"ORCL","Information Technology",1.48,19.74,4.51,3.54,21.702960606802,-5.38292635184732
"PCAR","Industrials",1.89,29.22,0.96,2.8,44.071373752878,26.4389907904835
"PH","Industrials",2.33,20.66,1.26,2.9,30.9530225455852,27.8631150633253
"PDCO","Health Care",1.96,26.02,0.87,3.25,29.2193457756372,-13.8671523178808
"PAYX","Information Technology",3.04,29.34,7.4,11.42,32.4637208543943,-0.342411544105655
"PBCT","Financials",4.64,17.05,3.54,0.93,22.3196223870533,31.5576534052596
"PEP","Consumer Staples",2.84,30.59,2.49,12.5,30.0360210584649,-3.46356608478802
"PKI","Health Care",0.53,27.7,2.52,2.8,30.8063021316033,-1.2789657089898
"PFE","Health Care",3.35,29.61,4.25,3.44,22.7297895902547,-7.61351328903654
"PCG","Utilities",3.04,33.42,1.89,1.92,27.9191732222737,-6.4322073114299
"PSX","Energy",3.3,11.2,0.49,1.71,32.5050100200401,16.579828991316
"PNW","Utilities",3.09,21.27,2.57,1.96,31.3539485031416,-3.96698657139338
"PBI","Industrials",4.33,9.18,0.92,27.1,31.2921348314607,-10.561797752809
"PNC","Financials",2.57,11.02,2.68,0.95,28.6777474572066,46.8742297196725
"RL","Consumer Discretionary",2.18,20.18,1.03,2.03,59.2278820375335,-4.96514423592494
"PPG","Materials",1.55,20.17,1.79,5.31,33.2392776523702,-9.27389108352144
"PPL","Utilities",4.08,49.42,3.36,2.56,28.6705819540844,-8.78270688734651
"PX","Materials",2.68,22.24,3.03,6.53,21.3003311835454,1.30730172564058
"PFG","Financials",3.7,10.62,0.94,1.16,59.94229382063,42.1976412599182
"PG","Consumer Staples",3.28,27.03,3.17,3.88,24.402471726711,-1.58563133962924
"PGR","Financials",2.68,16.11,0.9,2.56,24.6660730186999,6.648857227664
"PLD","Financials",3.4,35.83,10.13,1.76,31.2613521695257,7.91120282542887
"PRU","Financials",3.69,6.62,0.53,0.62,49.8802648260318,48.6406493872377
"PEG","Utilities",3.51,14.98,2.33,1.73,22.9952319029042,-5.41829432162982
"PSA","Financials",2.72,41.31,17.63,8.67,31.9188622056424,-13.4374776560193
"PHM","Consumer Discretionary",1.8,14.01,1.1,1.45,36.572265625,-7.666015625
"PVH","Consumer Discretionary",0.17,11.67,0.95,1.58,58.0661734484176,-6.90505754212905
"QCOM","Information Technology",4.05,17.09,3.44,2.62,43.9379959402104,20.3543107584425
"DGX","Health Care",1.97,15.94,1.53,2.47,27.678462848109,12.7325757022984
"RTN","Industrials",2.12,21.47,1.71,4.02,30.3198786916023,6.10874214744746
"O","Financials",3.36,65.4,16.64,2.85,41.1529108854241,-16.8073237019024
"RF","Financials",3.15,10.66,2.04,0.64,45.8530805687204,72.2748815165877
"RSG","Industrials",2.3,25.14,1.95,2.31,25.076103500761,8.42846651445966
"RAI","Consumer Staples",3.13,11.21,6.55,3.57,35.3660831921701,4.38546772068511
"RHI","Industrials",2.33,14.05,0.94,4.67,61.2002069322297,30.6259699948267
"ROK","Industrials",2.57,20.32,2.43,6.64,32.9040622299049,18.9887623163353
"COL","Industrials",1.6,16.76,2.09,5.44,22.6872770511296,9.27467538644472
"ROP","Industrials",0.72,25.05,4.68,3.11,26.4761232651141,8.60973476828982
"ROST","Consumer Discretionary",0.95,22.84,1.87,8.9,27.8570201065475,12.940369479292
"RCL","Consumer Discretionary",2.25,20.82,1.71,1.83,57.3120795554256,23.7203831529687
"R","Industrials",2.64,11.23,0.5,1.63,75.4022277227723,17.2648561262376
"SPGI","Financials",1.35,25.87,5.28,127.9,31.413612565445,2.17690640213098
"SCG","Utilities",3.26,20.56,2.55,1.92,34.9493873201918,-2.43740010655301
"SLB","Energy",2.57,62.25,3.07,2.75,34.3027686055372,8.68681991363983
"SNI","Consumer Discretionary",1.58,10.8,2.57,4.42,32.324173265021,14.8889923924856
"STX","Information Technology",10.62,23.59,0.62,4.21,143.523531861724,62.7238650562266
"SEE","Materials",1.33,29.1,1.31,16.05,37.8907080586859,0.361473527535614
"SRE","Utilities",2.67,23.29,2.78,2.36,24.4851459118394,-10.612566821488
"SHW","Materials",1.12,26.94,2.41,27.61,29.6000260994389,-10.7301301709513
"SIG","Consumer Discretionary",1.26,13.46,0.94,2.09,89.3624599311409,12.133440579366
"SPG","Financials",3.21,38.53,12.47,14.67,21.5157587903079,-18.1590444525415
"SWKS","Information Technology",1.67,12.24,3.41,3.27,82.6577650611985,18.6774821173105
"SLG","Financials",2.79,42.6,5.97,1.46,39.4602755236837,3.56671258728062
"SJM","Consumer Staples",1.75,26.75,2.28,2.54,32.7167705088266,-16.5822955607477
"SNA","Consumer Discretionary",1.56,19.09,2.53,3.63,25.8678821178821,7.58616258741259
"SO","Utilities",4.26,21.16,2.85,2.37,23.4207609900259,-9.4015533801256
"LUV","Industrials",1.02,11.94,1.27,3.4,45.3872718302911,26.8870226936359
"SE","Energy",5.15,150.87,4.93,3.44,42.4917491749175,15.4290456545655
"SWK","Consumer Discretionary",1.96,19.01,1.51,2.99,23.1712620683657,4.47073236496477
"SPLS","Consumer Discretionary",5.52,15.8,0.27,1.01,86.4406779661017,2.71186440677966
"SBUX","Consumer Discretionary",1.41,33.44,4.13,16.36,38.8426827110246,-0.760923730313215
"HOT","Consumer Discretionary",2,27.07,4.28,9.53,39.2307692307692,0.456327249022165
"STT","Financials",2.61,12.15,2.01,1.1,57.5990982528649,54.4429814014653
"SYK","Health Care",1.35,28.62,4.5,5.14,29.2092566849293,-1.7908267233625
"STI","Financials",2.34,11.38,2.59,0.91,35.6418918918919,35.0386076254826
"SYMC","Information Technology",1.47,5.58,3.48,3.4,37.9227053140097,16.9082173913044
"SYY","Consumer Staples",2.42,37.55,0.59,7.29,31.3045163791433,6.41597596433417
"TROW","Financials",3.02,15.75,4.26,3.73,22.0780993992354,4.95631212452212
"TGT","Consumer Discretionary",3.42,13.2,0.57,3.32,27.7801149908849,1.43037722619547
"TEL","Information Technology",2.62,10.9,1.7,2.72,28.3156613940553,19.4507231009908
"TGNA","Consumer Discretionary",2.39,12.4,1.64,2.36,50,-8.29103214890017
"TSO","Energy",2.86,6.12,0.31,1.6,71.3283828382838,18.3168330583058
"TXN","Information Technology",2.49,22.08,4.82,6.36,31.3260629050103,15.8368911016279
"TXT","Industrials",0.22,14.3,0.71,1.92,38.6320627196539,35.2257366855907
"BK","Financials",1.8,13.9,2.72,1.13,34.4245258508704,26.006755001299
"CLX","Consumer Staples",2.33,27.04,3.11,68.66,24.9114692491147,-11.7944619498446
"KO","Consumer Staples",3.1,27.32,4.45,7.84,23.292199206699,-8.19744380784488
"HSY","Consumer Staples",2.12,48.81,3.23,28.34,31.9602529358627,-6.84733242999097
"MOS","Materials",2.9,9.42,1.04,0.87,94.0345368916797,21.2715855572998
"TRV","Financials",2.28,11.09,1.28,1.42,20.4014227642276,1.02472984417345
"DIS","Consumer Discretionary",1.44,18.34,2.91,3.79,35.9666733587633,7.57879743023489
"TMO","Health Care",0.4,30.73,3.38,2.8,24.6970986967057,-4.78747462178269
